lesson_key,group,title,url
126,R,Set up R,/sb-set-up-r/
121,Stats,Variables,/sb-variables/
101,R,swirl Lesson 1 - Basic Building Blocks,/swirl-basic-building-blocks/
102,R,swirl Lesson 2 - Workspace and Files,/swirl-workspace-and-files/
103,R,swirl Lesson 3 - Sequences of Numbers,/swirl-sequences-of-numbers/
104,R,swirl Lesson 4 - Vectors,/swirl-vectors/
105,R,swirl Lesson 5 - Missing Values,/swirl-missing-values/
106,R,swirl Lesson 6 - Subsetting Vectors,/swirl-subsetting-vectors/
107,R,swirl Lesson 7 - Matrices and Data Frames,/swirl-matrices-and-data-frames/
108,R,swirl Lesson 8 - Logic,/swirl-logic/
109,R,swirl Lesson 9 - Functions,/swirl-functions/
110,R,swirl Lesson 10 - lapply and sapply,/swirl-lapply and sapply/
115,R,swirl Lesson 11 - vapply and tapply,/swirl-vapply-and-tapply/
116,R,swirl Lesson 12 - Looking at Data,/swirl-looking-at-data/
117,R,swirl Lesson 13 - Simulation,/swirl-simulation/
118,R,swirl Lesson 14 - Dates and Times,/swirl-dates-and-times/
119,R,swirl Lesson 15 -  Base Graphics,/swirl-base-graphics/
122,Stats,swirl - Lesson 2 - Exploratory Graphs,/swirl-exploratory-graphs/
129,Tidyverse,dplyr,/sb-dplyr/ 
127,Tidyverse,Piping and Summarizing,/sb-piping-and-summarizing/
130,Stats,Correlation and Linear Regression,/sb-correlation-and-linear-regression/
113,Stats,Exact Test of Goodness-of-Fit,/sb-exact-test-of-goodness-of-fit/
130,Stats,Chi Square Test of Goodness-of-Fit,/sb-chi-square-test-of-goodness-of-fit/
129,Stats,One-Sample t Test,/sb-one-sample-t-test/
128,Stats,Two-Sample t Test,/sb-two-sample-t-test/
120,Stats,Introduction to Bayes's Theorem,/sb-introduction-to-bayes-theorem/
111,Stats,One-Way ANOVA,/sb-one-way-anova/
114,Stats,Kruskal-Wallis Test,/sb-kruskal-wallis/
